Shop Code,April 18,May 18,June 18,July 18,August 18,September 18,October 18,November 18,December 18,January 19,February 19,March 19,April 19,May 19,June 19,July 19,August 19,September 19,October 19,November 19,December 19,January 20,February 20,March 20,April 20,May 20,June 20,July 20,August 20,September 20,October 20,November 20,December 20,January 21,February 21,March 21,April 21,May 21,June 21,July 21,August 21,September 21,October 21,November 21,December 21,January 22,February 22,March 22,April 22,May 22,June 22,July 22,August 22,September 22,October 22,November 22,December 22,January 23,February 23,March 23
GMKA0001,18897.64,66990.78,59320.92,54589.0,78154.01000000001,32514.66,75771.65,36319.74,41181.62,52881.270000000004,27967.98,66069.44,38594.99,43952.76,46784.9,53129.38,45279.6,46783.21,35821.34,79435.79000000001,29013.39,48696.24,39772.36,77280.51999999999,59651.68,12129.85,48163.990000000005,127523.04000000001,13554.61,62855.909999999996,51491.670000000006,51192.99,0.0,51070.55,45055.86,44440.02,0.0,0.0,0.0,0.0,61617.6,49664.5,30831.38,46079.51,0.0,0.0,0.0,37855.22,12247.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMKA0002,179475.96,177847.14,223907.01,177869.69,205545.44,213084.27,190901.87,274976.19,185755.49,259639.06,205844.97999999998,219024.1,254007.57,242212.65,196219.21,292300.34,317961.02999999997,211837.27,239502.22,311128.39,298283.33,233877.88,321440.98,378763.01,259350.99000000002,225001.19,204987.91,300695.2,422115.47,363709.19,276827.78,325449.17000000004,298277.22,262818.23,319493.96,324118.04000000004,351515.48,476865.37,285061.92,268917.26,231708.8,391931.87,210426.78,224889.77000000002,336323.95,298618.48,279256.18,306135.08999999997,247858.69,39712.49,0.0,0.0,0.0,0.0,0.0,53422.3,475287.56,259342.73,350704.57,424849.27
GMKA0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMKA0004,0.0,0.0,81018.23,68328.46,18636.18,17174.24,34778.32,28384.1,0.0,0.0,14561.56,21615.489999999998,7876.06,0.0,0.0,25301.47,19864.37,29936.02,16963.870000000003,46331.57,19063.37,22175.559999999998,13855.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMKA0005,51829.79,42628.51,51895.19,21686.18,120051.08,0.0,47459.07,0.0,0.0,26854.0,34838.19,54177.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMKA0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMKA0007,109133.94,113355.94,128417.87,117344.5,127917.98000000001,121532.32,105273.5,126512.29000000001,131507.82,152241.21,88519.29000000001,99262.84,43697.07,0.0,25575.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29282.64,48730.43,43497.39,64783.07,63302.520000000004,45669.81,57999.42,55521.45,30309.38,0.0,0.0,0.0,0.0,0.0,9287.12,91962.95999999999,91962.58,78697.43,92164.26000000001
GMKA0008,136321.42,258717.93,131005.08,218777.73,148134.94,172982.08,153235.82,216219.05,147186.91999999998,191029.26,137979.34,154225.47,149915.5,172632.64,140029.67,142657.07,162280.01,115916.73000000001,115933.24,220466.6,106189.72,161076.4,34575.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMKA0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMKA0010,206841.43,186405.53,196438.64,202872.54,140898.69,211756.74,114475.66,184413.05,168737.74,201910.94,161373.05,170779.72999999998,143704.99,185674.89,144995.46000000002,226983.23,236985.82,125558.43,90512.84,140606.22,210017.40000000002,208158.86000000002,185165.88,469236.43,52946.14,102998.35,128078.41,209455.13,169036.22,192590.51,162625.21000000002,155203.47,230396.74000000002,192391.12,176874.69,271712.76,149525.29,163000.88,176535.89,168388.76,159203.33,209783.58,151949.82,146200.07,211930.22,183799.64,197097.93,197150.08000000002,134249.46,69930.54000000001,0.0,0.0,0.0,0.0,0.0,34614.14,152946.91,161480.44,173973.66,312770.23
GMKA0011,93705.9,71680.49,72733.68,59300.91,67237.8,43427.149999999994,58612.880000000005,55125.22,37134.869999999995,23111.38,44878.96,16955.68,0.0,49230.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMKA0012,40851.16,22086.62,36951.34,8287.25,15667.439999999999,14415.710000000001,16086.76,0.0,0.0,0.0,4175.47,6999.66,0.0,0.0,13901.11,0.0,0.0,0.0,0.0,7187.27,4581.75,8716.03,11343.37,25069.51,34468.46,0.0,27181.82,18674.67,32818.51,6250.05,8138.71,9928.93,11716.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMKA0013,30174.08,45079.1,60541.31,27130.31,75565.66,42499.16,51817.33,40139.59,42424.8,58390.15,78274.37,21963.06,89084.77,40940.6,0.0,35980.47,54367.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMKA0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59326.87,0.0,0.0,0.0,0.0,194828.27,92389.03,133048.36,64280.03,78209.13,71119.91,45709.72,37615.799999999996,34129.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMKA0015,19927.34,70952.74,60104.23,11292.97,38884.68,95138.33,22422.269999999997,0.0,64980.73,77483.85,37430.99,21548.08,15322.65,47874.3,12821.77,32199.55,41217.08,0.0,45016.16,0.0,30714.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMKA0016,75784.76,92448.76,97519.45,74665.41,88701.14,67342.11,70923.93,68843.68,45436.89,58069.42,51678.58,47703.54,53413.56,22473.79,40889.34,0.0,15766.45,0.0,0.0,14773.88,0.0,0.0,0.0,0.0,0.0,23375.4,0.0,0.0,0.0,29166.33,11484.5,15226.94,21194.329999999998,16144.21,16137.75,0.0,36637.46,0.0,0.0,21889.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMKA0017,55956.1,35745.18,81134.33,45734.49,67011.74,38098.93,41885.9,42835.71,51589.22,27374.82,45992.55,49662.58,28966.03,69943.58,63470.34,68611.45999999999,84101.54000000001,62993.340000000004,42472.04,98367.19,19114.74,35384.78,54414.09,136814.74,53748.32,14226.02,41754.98,50747.66,37800.07,87144.63,18290.18,47308.0,81236.09,27589.57,28910.68,54678.57,52904.47,85064.34,15876.369999999999,12957.21,22791.25,85257.17,37012.59,64498.3,32564.91,75884.23000000001,34219.37,38018.5,32470.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14852.740000000002,24220.03,15638.23,17696.29
